,Make,Model,Year,Style,Distance,Engine,Fuel_type,Price,km_year,Transmission,km_year_cat,mean_make_price_by_year
705,Toyota,Rav 4,2017,Crossover,106000.0,2500.0,Hybrid,22000.0,21200.0,Automatic,Medium,17618.741666666665
706,BMW,5 Series,2003,Universal,334000.0,2500.0,Diesel,6800.0,17578.947368421053,Manual,Medium,5656.783505154639
707,Rare,Range Rover Sport,2008,SUV,207000.0,2700.0,Diesel,11990.0,14785.714285714286,Manual,Medium,5922.762376237623
708,Rare,Altea XL,2012,Microvan,150000.0,1600.0,Diesel,4700.0,15000.0,Manual,Medium,12690.562913907284
709,BMW,5 Series,2015,Sedan,1234.0,2000.0,Diesel,21500.0,176.28571428571428,Automatic,Small,22725.268292682926
710,Rare,Cayenne,2008,Crossover,150000.0,4800.0,Petrol,12900.0,10714.285714285714,Automatic,Medium,5922.762376237623
711,Renault,Megane,2012,Universal,254000.0,1500.0,Diesel,7099.0,25400.0,Manual,Medium,6612.572916666667
712,Dacia,Logan Van,2011,Minivan,100000.0,1600.0,Petrol,3800.0,9090.90909090909,Manual,Small,5570.698275862069
713,Honda,CR-V,2004,SUV,180000.0,2000.0,Petrol,7200.0,10000.0,Manual,Small,4828.692307692308
714,Volkswagen,Passat,2004,Sedan,214000.0,1800.0,Metan/Propan,3700.0,11888.888888888889,Automatic,Medium,4519.829268292683
715,Mercedes,E Class,2004,Sedan,343150.0,3222.0,Diesel,8500.0,19063.88888888889,Automatic,Medium,5684.621428571429
716,Dacia,Logan Mcv,2014,Universal,156800.0,1500.0,Diesel,5650.0,19600.0,Manual,Medium,6257.141732283465
717,Audi,A6,2020,Sedan,35000.0,1968.0,Diesel,39500.0,17500.0,Automatic,Medium,44049.9
718,Dacia,Logan,2009,Universal,224000.0,1500.0,Diesel,3799.0,17230.76923076923,Manual,Medium,3540.9193548387098
719,Volkswagen,Jetta,2006,Sedan,190000.0,1600.0,Petrol,4699.0,11875.0,Manual,Medium,5334.830687830688
720,Toyota,Prius,2007,Hatchback,167000.0,1500.0,Petrol,6500.0,11133.333333333334,Automatic,Medium,6360.069958847736
